program_year_id,program_identity_id,ministry_code,fiscal_year,program_code,field_name,sector_name,performance_program_name,raw_account_row_count,account_type_count,account_types,raw_candidate_ids,base_program_year_key_conflict,base_key_reused,identity_resolved_by_extended_key,identity_unresolved,identity_resolution_reason,program_year_name_conflict,program_original_budget,program_current_budget,program_expenditure,below_target_count,at_or_above_target_count,comparable_rate_count,reported_target_status,indicator_coverage_status,repeated_target_overachievement,target_unchanged,performance_status_conflict_fields,program_performance_status_conflict,program_total_feedback_complete_t1,program_total_feedback_complete_t2,program_total_budget_change_rate_t1,program_total_budget_change_rate_t2,low_performance_budget_increase_t1,low_performance_budget_increase_t2,good_performance_budget_decrease_t1,good_performance_budget_decrease_t2,retrospective_feedback_data_quality_signal,retrospective_feedback_conflict_fields,context_type,context_status,context_source,context_evidence,context_effect,type_repeated_year_end_concentration_budget_share,type_accounting_adjustment_pattern_budget_share,type_program_budget_concentration_budget_share,account_type_signal_details,evidence_status,data_validation_signal,analysis_status,program_execution_rate,current_execution_severity,performance_gap,performance_signal,repeated_low_execution_signal,reported_target_miss_consecutive,reported_target_met_consecutive,reported_target_history_status,program_budget_change_rate,budget_increase_context_signal,budget_decrease_context_signal,budget_mismatch_signal,budget_performance_mismatch,accounting_context_signal,structure_context_signal,type_repeated_strong_low_execution_budget_share,type_repeated_moderate_low_execution_budget_share,execution_management,observed_start_year,observed_end_year,observed_year_count,continuity_status,review_grade,reviewability_status,signal_strength,diagnostic_type,grade_trigger_signal_families,signal_families,context_flags,context_only,grade_cap_reason,grade_reason_codes,next_review_question,evidence_strength,review_grade_order,independent_signal_family_count,repeated_signal_family_count,program_year_queue_order,review_queue_order_within_year
019:1200:2022,019:1200,019,2022,1200,사회복지,고용,고용안전망확충,2,2,FUND;GENERAL_ACCOUNT,"[""019:2022:사회복지:고용:1200:FUND"", ""019:2022:사회복지:고용:1200:GENERAL_ACCOUNT""]",False,False,False,False,BASE_KEY_UNIQUE,False,14731393000000,14733233000000,13405747410840,3,0,3,ALL_COMPARABLE_BELOW_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,False,False,,,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,1.0,"[{""candidate_id"": ""019:2022:사회복지:고용:1200:FUND"", ""account_type"": ""FUND"", ""review_grade"": ""C"", ""diagnostic_type"": ""CONTEXT_OR_SINGLE_SIGNAL_REVIEW"", ""execution_rate"": 0.9721247385846356}, {""candidate_id"": ""019:2022:사회복지:고용:1200:GENERAL_ACCOUNT"", ""account_type"": ""GENERAL_ACCOUNT"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": null}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9098985545697947,0.0,1.0,True,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,True,0,0,0.0,2022,2024,3,EXACT_PROGRAM_KEY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality;reported_performance,data_quality;reported_performance,structure_context,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,2,0,1,1
075:2700:2022,075:2700,075,2022,2700,보건,보건의료,공공보건의료확충,3,3,FUND;GENERAL_ACCOUNT;SPECIAL_ACCOUNT,"[""075:2022:보건:보건의료:2700:FUND"", ""075:2022:보건:보건의료:2700:GENERAL_ACCOUNT"", ""075:2022:보건:보건의료:2700:SPECIAL_ACCOUNT""]",False,False,False,False,BASE_KEY_UNIQUE,False,4878718000000,6061406795390,5896873269290,1,1,2,MIXED_COMPARABLE,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,False,False,,,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,1.0,"[{""candidate_id"": ""075:2022:보건:보건의료:2700:FUND"", ""account_type"": ""FUND"", ""review_grade"": ""C"", ""diagnostic_type"": ""CONTEXT_OR_SINGLE_SIGNAL_REVIEW"", ""execution_rate"": 0.9900102694902648}, {""candidate_id"": ""075:2022:보건:보건의료:2700:GENERAL_ACCOUNT"", ""account_type"": ""GENERAL_ACCOUNT"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": 0.9716001037847868}, {""candidate_id"": ""075:2022:보건:보건의료:2700:SPECIAL_ACCOUNT"", ""account_type"": ""SPECIAL_ACCOUNT"", ""review_grade"": ""C"", ""diagnostic_type"": ""CONTEXT_OR_SINGLE_SIGNAL_REVIEW"", ""execution_rate"": 1.0}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9728555545512741,0.0,0.5,True,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,True,0,0,0.0,2022,2024,3,EXACT_PROGRAM_KEY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality;reported_performance,data_quality;reported_performance,structure_context,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,2,0,2,2
075:7400:2022,075:7400,075,2022,7400,사회복지,공적연금,국민연금운영(여유자금 운영위탁 등),1,1,FUND,"[""075:2022:사회복지:공적연금:7400:FUND""]",False,False,False,False,BASE_KEY_UNIQUE,False,335668000000,348235215594,321362250477,1,0,1,ALL_COMPARABLE_BELOW_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,0.0138976607838697,0.0426105556681006,True,True,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""075:2022:사회복지:공적연금:7400:FUND"", ""account_type"": ""FUND"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": null}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9228309949320846,0.0,1.0,True,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,EXACT_PROGRAM_KEY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality;reported_performance,data_quality;reported_performance,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,2,0,3,3
162:UNKNOWN_CONTINUITY:a45071d94638:2022,162:UNKNOWN_CONTINUITY:a45071d94638,162,2022,,,,탄소중립기반 구축,1,1,NOT_AVAILABLE,"[""162:2022:NA:NA:탄소중립기반 구축:NA""]",False,False,False,True,MISSING_PROGRAM_CODE_UNKNOWN_CONTINUITY,False,,,,1,2,3,MIXED_COMPARABLE,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,False,False,,,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,,,,"[{""candidate_id"": ""162:2022:NA:NA:탄소중립기반 구축:NA"", ""account_type"": ""NOT_AVAILABLE"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": null}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,,,0.3333333333333333,True,False,False,False,UNKNOWN_CONTINUITY,,False,False,False,0,False,False,0,0,,2022,2022,1,UNKNOWN_CONTINUITY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality;reported_performance,data_quality;reported_performance,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,2,0,4,4
075:7600:2022,075:7600,075,2022,7600,사회복지,공적연금,국민연금운영(급여지급),1,1,FUND,"[""075:2022:사회복지:공적연금:7600:FUND""]",False,False,False,False,BASE_KEY_UNIQUE,False,34127303000000,34127303000000,34020076064810,0,1,1,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,0.1452973298241587,0.2844227684795367,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""075:2022:사회복지:공적연금:7600:FUND"", ""account_type"": ""FUND"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": null}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9968580307916509,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,EXACT_PROGRAM_KEY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,5,5
162:5200:2022,162:5200,162,2022,5200,통신,우정,우체국예금,1,1,SPECIAL_ACCOUNT,"[""162:2022:통신:우정:5200:SPECIAL_ACCOUNT""]",False,False,False,False,BASE_KEY_UNIQUE,False,1132187000000,1132670465000,1069037800190,0,2,2,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,0.2702168458037409,0.9949001357549592,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,1.0,"[{""candidate_id"": ""162:2022:통신:우정:5200:SPECIAL_ACCOUNT"", ""account_type"": ""SPECIAL_ACCOUNT"", ""review_grade"": ""H"", ""diagnostic_type"": ""DATA_OR_COMPARABILITY_HOLD"", ""execution_rate"": 0.943820672670228}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9438206726702281,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,True,0,0,0.0,2022,2024,3,EXACT_PROGRAM_KEY,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,structure_context,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,6,6
162:4600:bbc4586c11b9:2022,162:4600:bbc4586c11b9,162,2022,4600,과학기술,과학기술연구지원,공공연구성과 활성화,2,2,GENERAL_ACCOUNT;SPECIAL_ACCOUNT,"[""162:2022:과학기술:과학기술연구지원:4600:GENERAL_ACCOUNT"", ""162:2022:과학기술:과학기술연구지원:4600:SPECIAL_ACCOUNT""]",True,True,False,True,SAME_CODE_NAME_MULTIPLE_FIELD_SECTOR,False,288846000000,289871000000,289870987100,0,2,2,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,False,False,,,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""162:2022:과학기술:과학기술연구지원:4600:GENERAL_ACCOUNT"", ""account_type"": ""GENERAL_ACCOUNT"", ""review_grade"": ""D"", ""diagnostic_type"": ""NO_STRUCTURED_SIGNAL_DETECTED"", ""execution_rate"": 0.9999998800580184}, {""candidate_id"": ""162:2022:과학기술:과학기술연구지원:4600:SPECIAL_ACCOUNT"", ""account_type"": ""SPECIAL_ACCOUNT"", ""review_grade"": ""D"", ""diagnostic_type"": ""NO_STRUCTURED_SIGNAL_DETECTED"", ""execution_rate"": 1.0}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9999999554974455,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,UNRESOLVED_IDENTITY_HOLD,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,7,7
162:4600:0f2696a0b660:2022,162:4600:0f2696a0b660,162,2022,4600,교육,평생·직업교육,공공연구성과 활성화,1,1,SPECIAL_ACCOUNT,"[""162:2022:교육:평생·직업교육:4600:SPECIAL_ACCOUNT""]",True,True,False,True,SAME_CODE_NAME_MULTIPLE_FIELD_SECTOR,False,47351000000,47351000000,47351000000,0,3,3,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,0.3203522628877954,6.33566344955756e-05,False,False,False,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""162:2022:교육:평생·직업교육:4600:SPECIAL_ACCOUNT"", ""account_type"": ""SPECIAL_ACCOUNT"", ""review_grade"": ""D"", ""diagnostic_type"": ""NO_STRUCTURED_SIGNAL_DETECTED"", ""execution_rate"": 1.0}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,1.0,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,UNRESOLVED_IDENTITY_HOLD,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,8,8
162:7000:1f52662b0f4d:2022,162:7000:1f52662b0f4d,162,2022,7000,통신,방송통신,과학기술정보 통신부운영지원,1,1,GENERAL_ACCOUNT,"[""162:2022:통신:방송통신:7000:GENERAL_ACCOUNT""]",True,True,False,True,SAME_CODE_NAME_MULTIPLE_FIELD_SECTOR,False,20633000000,22354590000,21938107610,0,3,3,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,-0.013224114447997,0.0563642861972701,False,False,True,False,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""162:2022:통신:방송통신:7000:GENERAL_ACCOUNT"", ""account_type"": ""GENERAL_ACCOUNT"", ""review_grade"": ""D"", ""diagnostic_type"": ""NO_STRUCTURED_SIGNAL_DETECTED"", ""execution_rate"": 0.9813692673406222}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,0.9813692673406222,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,UNRESOLVED_IDENTITY_HOLD,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,9,9
162:7000:09ff2da176e8:2022,162:7000:09ff2da176e8,162,2022,7000,교육,교육일반,과학기술정보 통신부운영지원,1,1,GENERAL_ACCOUNT,"[""162:2022:교육:교육일반:7000:GENERAL_ACCOUNT""]",True,True,False,True,SAME_CODE_NAME_MULTIPLE_FIELD_SECTOR,False,3512000000,3512000000,3512000000,0,2,2,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,COMPLETE_REPORTED_RATE_COVERAGE,False,False,,False,True,True,0.0464123006833713,-0.0056947608200455,False,False,False,True,False,,UNKNOWN_TYPE,CONFIRMED_STRUCTURED,STRUCTURED_CONTEXT_INVENTORY,NO_CONFIRMED_CONTEXT_TAG,NO_GRADE_CHANGE,0.0,0.0,0.0,"[{""candidate_id"": ""162:2022:교육:교육일반:7000:GENERAL_ACCOUNT"", ""account_type"": ""GENERAL_ACCOUNT"", ""review_grade"": ""D"", ""diagnostic_type"": ""NO_STRUCTURED_SIGNAL_DETECTED"", ""execution_rate"": 1.0}]",DATA_BLOCKED,True,DATA_QUALITY_HOLD,1.0,0.0,0.0,False,False,False,False,LEFT_CENSORED_OR_FIRST_OBSERVATION,,False,False,False,0,False,False,0,0,0.0,2022,2024,3,UNRESOLVED_IDENTITY_HOLD,H,HOLD,NOT_ASSESSED,DATA_OR_COMPARABILITY_HOLD,data_quality,data_quality,NONE,False,NOT_APPLICABLE,DATA_OR_COMPARABILITY_HOLD,프로그램 연결키·금액 단위·성과 비교가능성을 먼저 확정할 수 있는가?,BLOCKED,0,1,0,10,10
