pair_id,case_side,anonymous_case_id,ministry_code,fiscal_year,account_type,performance_program_name,account_execution_rate,reported_target_status,reported_target_miss_consecutive,repeated_low_execution_observed,same_year_rapid_budget_increase,evidence_strength,reviewer_first_case,reviewer_reason
PAIR_01,LEFT,05b70b50583a,019,2023,PROGRAM_TOTAL,고용창출,0.8073822603607046,MIXED_COMPARABLE,False,True,False,LIMITED,,
PAIR_01,RIGHT,b96887b902d4,019,2023,PROGRAM_TOTAL,직업능력개발,0.8965598366217521,ALL_COMPARABLE_BELOW_TARGET,False,False,True,LIMITED,,
PAIR_02,LEFT,32eeaa08edf8,019,2024,PROGRAM_TOTAL,직업능력개발,0.9280155446505384,ALL_COMPARABLE_BELOW_TARGET,True,False,False,LIMITED,,
PAIR_02,RIGHT,a3ff15d5f04b,019,2022,PROGRAM_TOTAL,고용창출,0.7430225236747622,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,False,LIMITED,,
PAIR_03,LEFT,7dd13364fd47,019,2024,PROGRAM_TOTAL,고용창출,0.8853373716958525,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,True,False,LIMITED,,
PAIR_03,RIGHT,c789f1b24beb,019,2022,PROGRAM_TOTAL,직업능력개발,0.9252094141762791,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,False,LIMITED,,
PAIR_04,LEFT,428713885abc,019,2022,PROGRAM_TOTAL,고용안전망확충,0.9098985545697947,ALL_COMPARABLE_BELOW_TARGET,False,False,False,BLOCKED,,
PAIR_04,RIGHT,d062a80bc78b,019,2023,PROGRAM_TOTAL,고용평등증진,0.9949794575889582,MIXED_COMPARABLE,True,False,True,LIMITED,,
PAIR_05,LEFT,85c41c04834b,019,2023,PROGRAM_TOTAL,고용안전망확충,0.9603308608866505,MIXED_COMPARABLE,True,False,False,LIMITED,,
PAIR_05,RIGHT,902896af2ff0,019,2024,PROGRAM_TOTAL,고용안전망확충,0.9953995726854906,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,True,LIMITED,,
PAIR_06,LEFT,5280ff84c820,019,2023,PROGRAM_TOTAL,산업재해예방,0.9552190244023214,MIXED_COMPARABLE,True,False,True,LIMITED,,
PAIR_06,RIGHT,014a4a6490c7,019,2023,PROGRAM_TOTAL,노사정책,0.9285515662446303,ALL_COMPARABLE_BELOW_TARGET,True,False,False,LIMITED,,
PAIR_07,LEFT,ffba559dcae4,075,2023,PROGRAM_TOTAL,국립재활원,0.8596253043239602,MIXED_COMPARABLE,False,False,True,LIMITED,,
PAIR_07,RIGHT,0e334950ae1a,019,2022,PROGRAM_TOTAL,고용평등증진,0.9977040494195598,MIXED_COMPARABLE,False,False,False,LIMITED,,
PAIR_08,LEFT,f92c363c9fc6,019,2024,PROGRAM_TOTAL,고용평등증진,0.9969837992973015,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,True,LIMITED,,
PAIR_08,RIGHT,aef250d0c39c,019,2022,PROGRAM_TOTAL,장애인고용증진,0.9941833998505907,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,False,LIMITED,,
PAIR_09,LEFT,dee0d4e1ddf8,075,2023,PROGRAM_TOTAL,아동보호 및 복지 강화,0.9328809688543388,ALL_COMPARABLE_BELOW_TARGET,True,False,False,BLOCKED,,
PAIR_09,RIGHT,08f210f6c287,075,2023,PROGRAM_TOTAL,국민건강생활실천,0.9806524759068862,ALL_COMPARABLE_BELOW_TARGET,True,False,True,LIMITED,,
PAIR_10,LEFT,5f20149f9dce,075,2022,PROGRAM_TOTAL,노숙인의사상자지원,0.7689361098310292,MIXED_COMPARABLE,False,False,False,LIMITED,,
PAIR_10,RIGHT,0bfed87dd52e,019,2023,PROGRAM_TOTAL,장애인고용증진,0.988876973473611,ALL_COMPARABLE_AT_OR_ABOVE_TARGET,False,False,True,LIMITED,,
