qa_variant,baseline_review_grade,qa_review_grade,candidate_count,account_original_budget
lenient_qa_only,A,A,13,24529558000000
lenient_qa_only,B,B,12,26483502000000
lenient_qa_only,B,C,2,3134370000000
lenient_qa_only,C,C,119,382422377100000
lenient_qa_only,C,D,1,1051289000000
lenient_qa_only,D,D,25,39108128000000
lenient_qa_only,H,H,64,86723300500000
production_threshold,A,A,13,24529558000000
production_threshold,B,B,14,29617872000000
production_threshold,C,C,120,383473666100000
production_threshold,D,D,25,39108128000000
production_threshold,H,H,64,86723300500000
strict_qa_only,A,A,13,24529558000000
strict_qa_only,B,B,14,29617872000000
strict_qa_only,C,B,4,8407533500000
strict_qa_only,C,C,116,375066132600000
strict_qa_only,D,C,3,2866160000000
strict_qa_only,D,D,22,36241968000000
strict_qa_only,H,H,64,86723300500000
