candidate_id,source_indicator_id,ministry_code,ministry_name,fiscal_year,performance_program_name,indicator_name_plan,indicator_name_report,indicator_unit,analysis_plan_target_raw,analysis_report_target_raw,analysis_actual_value_raw,analysis_official_achievement_rate_numeric,indicator_below_target,plan_source_page,report_source_page,analysis_value_adoption_status,analysis_source_trace,indicator_source_trace_available
075:2022:사회복지:공적연금:7600:FUND,MOHW-2022-IV7-01,075,보건복지부,2022,국민연금운영(급여지급),국민연금 수급률,국민연금 수급률,%,49.9,,50.8,100.8,False,PDF p.326 / 문서 p.318,PDF p.256 / 문서 p.252,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=334,True
019:2022:사회복지:노동:4000:FUND,MOEL-2022-IV1-01,019,고용노동부,2022,산재보험,산재노동자 직업복귀율,산재노동자 직업복귀율,%,68.4,,69.2,100.6,False,PDF p.203 / 문서 p.195,PDF p.184 / 문서 p.180,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=27,True
019:2022:사회복지:노동:4000:FUND,MOEL-2022-IV1-02,019,고용노동부,2022,산재보험,산재보험 신속성,산재보험 신속성,일,96.74,,121.3,81.2,True,PDF p.203 / 문서 p.195,PDF p.184 / 문서 p.180,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=28,True
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,MOHW-2023-III7-01,075,보건복지부,2023,국립공주병원,국립공주병원 고객만 족도,국립공주병원 고객만 족도,점,94.8,,92.6,97.8,True,PDF p.351 / 문서 p.343,PDF p.267 / 문서 p.263,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=368,True
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,MOHW-2023-III7-02,075,보건복지부,2023,국립공주병원,국립공주병원 수련환 경 평가,국립공주병원 수련환 경 평가,점,96.2,,95.4,99.4,True,PDF p.351 / 문서 p.343,PDF p.268 / 문서 p.264,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=369,True
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,MSIT-2023-II5-01,162,과학기술정보통신부,2023,국립과천과학관운영,과학관 이용 고객만족 도,과학관 이용 고객만족 도,점,87.2,,89.2,101.9,False,PDF p.491 / 문서 p.483,PDF p.475 / 문서 p.471,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=172,True
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,MSIT-2023-II5-02,162,과학기술정보통신부,2023,국립과천과학관운영,과학관 총 방문객,과학관 총 방문객,만명,252,,240,92.3,True,PDF p.491 / 문서 p.483,PDF p.475 / 문서 p.471,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=173,True
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,MSIT-2023-II5-03,162,과학기술정보통신부,2023,국립과천과학관운영,전시품 품질 개선 실 적,전시품 품질 개선 실 적,건,105,,113,107.6,False,PDF p.491 / 문서 p.483,PDF p.475 / 문서 p.471,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=174,True
162:2023:과학기술:과학기술연구지원:1600:GENERAL_ACCOUNT,MSIT-2023-II1-01,162,과학기술정보통신부,2023,과학기술기반조성,국제과학비즈니스벨트 조성 공정률,기초과학연구원 공정률,%,88.6,,8.24,34.3,True,PDF p.490 / 문서 p.482,PDF p.473 / 문서 p.469,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=162,True
162:2023:과학기술:과학기술연구지원:1600:GENERAL_ACCOUNT,MSIT-2023-II1-02,162,과학기술정보통신부,2023,과학기술기반조성,연구실 안전관리 이행 률,연구실 안전관리 이행 률,%,86,,87.4,100.8,False,PDF p.490 / 문서 p.482,PDF p.473 / 문서 p.469,VERIFIED_MANUAL_VALUES_PRESERVED,data/manual/LLM_문서구조화_3개부처_최종제출본.xlsx#02_골드셋!row=163,True
