fiscal_year,doc_type,file_name,split_pdf_page,source_pdf_page,printed_page,char_count,low_text_flag,extraction_method,ocr_char_count
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,1,201,193,65,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,2,202,194,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,3,203,195,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,4,204,196,39,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,5,205,197,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,6,206,198,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,7,207,199,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,8,208,200,814,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,9,209,201,1009,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,10,210,202,960,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,11,211,203,1061,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,12,212,204,1234,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,13,213,205,1225,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,14,214,206,1234,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,15,215,207,1246,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,16,216,208,268,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,17,217,209,333,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,18,218,210,753,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,19,219,211,936,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,20,220,212,941,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,21,221,213,1062,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,22,222,214,814,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,23,223,215,1067,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,24,224,216,984,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,25,225,217,944,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,26,226,218,1038,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,27,227,219,1151,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,28,228,220,402,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,29,229,221,1048,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,30,230,222,233,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,31,231,223,1023,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,32,232,224,738,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,33,233,225,299,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,34,234,226,428,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,35,235,227,337,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,36,236,228,335,False,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,37,237,229,43,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,38,238,230,30,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,39,239,231,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,40,240,232,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,41,241,233,9,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,42,242,234,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,43,243,235,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,44,244,236,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,45,245,237,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,46,246,238,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,47,247,239,25,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,48,248,240,7,True,TEXT,
2022,plan,2022년도 성과계획서_고용노동부-201-249.pdf,49,249,241,7,True,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,1,174,172,1111,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,2,175,297,640,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,3,176,,587,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,4,177,,755,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,5,178,,916,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,6,179,,783,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,7,180,,791,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,8,181,,944,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,9,182,,893,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,10,183,,837,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,11,184,,903,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,12,185,,621,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,13,186,,1069,False,TEXT,
2022,report,2022년도 성과보고서_고용노동부-174-222.pdf,14,187,,1189,False,TEXT,
